t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
192,0.040000,0.481951,0.450644,0.156421,0.156421,170
193,0.000000,0.487763,0.450643,0.148600,0.148600,156
194,0.030000,0.468719,0.450670,0.171170,0.171170,203
195,0.020000,0.453632,0.450688,0.182611,0.182611,227
196,0.000000,0.461107,0.450688,0.173481,0.173481,211
197,0.010000,0.461326,0.450688,0.174807,0.174807,215
198,0.000000,0.465660,0.450688,0.166066,0.166066,199
199,0.020000,0.446611,0.450709,0.177763,0.177763,223
200,0.000000,0.448288,0.450709,0.168875,0.168875,205
201,0.000000,0.449629,0.450709,0.160431,0.160431,187
202,0.000000,0.452302,0.450709,0.152410,0.152410,170
203,0.000000,0.454439,0.450709,0.144789,0.144789,153
204,0.000000,0.457749,0.450709,0.137550,0.137550,137
205,0.010000,0.453256,0.450725,0.140672,0.140672,141
206,0.000000,0.457602,0.450725,0.133639,0.133639,125
207,0.000000,0.463479,0.450725,0.126957,0.126957,110
208,0.000000,0.470580,0.450725,0.120609,0.120609,96
209,0.010000,0.471576,0.450725,0.124578,0.124578,103
210,0.020000,0.462412,0.450751,0.138349,0.138349,129
211,0.000000,0.465726,0.450751,0.131432,0.131432,113
212,0.010000,0.461292,0.450765,0.134860,0.134860,117
213,0.000000,0.470429,0.450765,0.128117,0.128117,104
214,0.010000,0.468255,0.450765,0.131711,0.131711,111
215,0.000000,0.481600,0.450765,0.125126,0.125126,100
216,0.000000,0.496275,0.450765,0.118870,0.118870,91
217,0.050000,0.473474,0.450825,0.162926,0.162926,182
218,0.000000,0.483374,0.450825,0.154780,0.154780,169
219,0.050000,0.450785,0.450865,0.197041,0.197041,256
220,0.000000,0.458023,0.450865,0.187189,0.187189,240
221,0.000000,0.463813,0.450864,0.177829,0.177829,224
222,0.000000,0.468445,0.450864,0.168938,0.168938,208
223,0.000000,0.472150,0.450864,0.160491,0.160491,192
224,0.000000,0.475114,0.450864,0.152466,0.152466,176
225,0.010000,0.465680,0.450871,0.154843,0.154843,180
